Id,Competitor,Rating,Logo,Difference,Jobbuzzname,Website,Work Life Balance ,Salary,Company Culture,Career Growth,Industry,Founded,Founders,Turnover,Headquarters,Employees,Compititors,Description
549,Malabar Hill Club,4.1,http://jobbuzz.timesjobs.com/ndata_images/logos/005846.gif,N,Malabar Gold and Diamonds,http://www.malabargoldanddiamonds.com,3.8,3.8,4.1,4.7," Retail, Shops, Malls",-,-, 10000+,-, 5001 - 10000,-,"Malabar Hill Club (formerly WIAA Club  ) is a sports club based in Mumbai, India. Membership at the club is limited and is difficult to procure.  "
550,Max Bupa Health Insurance,3.5,http://jobbuzz.timesjobs.com/ndata_images/logos/000975.gif,N,Max Healthcare Ltd,http://www.maxhealthcare.in/,3.3,3.6,3.4,3.6, Healthcare Services,-,-, 500 - 1000,-, 1001 - 5000," Narayana Hrudayalaya Hospital , Fortis Healthcare Ltd , Moolchand Medcity , Medanta-The Medicity , Apollo Hospitals Enterprises Ltd",0
551,Manipal Health Enterprises,3.6,http://jobbuzz.timesjobs.com/ndata_images/logos/000951.gif,N,Manipal Cure and Care Pvt Ltd,http://www.manipalcureandcare.com/preventive/Flu-Influenza.aspx,3.9,3.4,3.3,3.9, Healthcare Services,-,-, 100 - 500,-, 501 - 1000," ChiHealth Wellness Solutions , HealthcareMagic Pvt Ltd , Sami Labs Ltd , Apollo Hospitals Enterprises Ltd",0
552,McAfee,4.4,http://jobbuzz.timesjobs.com/ndata_images/logos/002682.gif,N,McAfee Software (India) Pvt Ltd,http://www.mcafee.com/in,4.1,4.6,4.8,4.2," Technology (IT, Telecom, Dot Com Etc)",-,-, 100 - 500,-, 1 - 10,-,"Intel Security Group (previously McAfee, Inc. /ˈmækəfiː/ ) is an American global computer security software company headquartered in Santa Clara, California, and the world's largest dedicated security technology company. The company has been a wholly owned subsidiary of Intel since February 2011,   and now forms part of its Intel Security division. Intel confirmed in 2014 that it planned to drop the McAfee brand.  "
553,McKinsey & Company,4.1,http://jobbuzz.timesjobs.com/ndata_images/logos/002354.gif,N,"McKinsey & Company, Inc",http://www.mckinsey.com,4.2,4,4.1,4, Consultancy Services,-,-, 100 - 500,-, 201 - 500,-,"McKinsey & Company is a multinational management consulting firm. It conducts qualitative and quantitative analysis in order to evaluate management decisions. Eighty percent of the world's largest corporations are counseled by the firm, which is considered the most prestigious management consultancy.  McKinsey publishes the McKinsey Quarterly, funds the McKinsey Global Institute research organization, publishes reports on management topics, and has authored many influential books on management. Its practices of confidentiality, influence on business practices, and corporate culture have experienced a polarizing reception.McKinsey was founded in 1926 by James McKinsey in order to apply accounting principles to management. Mr. McKinsey died in 1937, and the firm was restructured several times, with the modern-day McKinsey & Company emerging in 1939. Marvin Bower is credited with establishing McKinsey's culture and practices in the 1930s based on the principles he experienced as a lawyer. The firm developed an ""up or out"" policy, where consultants that are not promoted are asked to leave. McKinsey was the first management consultancy to hire recent college graduates, rather than experienced managers.In the 1980s and 1990s, the firm expanded internationally and established new practice areas. It had 88 staff in 1951 and 7,700 by the early 2000s. McKinsey's consulting has helped to establish many of the norms in business and contributed to many of the major successes and failures in business in the modern era."
554,McCann World wide,2.5,http://jobbuzz.timesjobs.com/ndata_images/logos/005711.gif,N,McCann Erickson India Ltd,http://www.mccannworldgroup.com,0,0,0,0, Consultancy Services,-,-, 100 - 500,-, 501 - 1000,-,0
555,Mindfire Solutions,4.1,http://jobbuzz.timesjobs.com/ndata_images/logos/002378.gif,Y,Mindfire Solutions,http://www.mindfiresolutions.com,4.5,4.1,3.9,3.9," Technology (IT, Telecom, Dot Com Etc)",-,-, 1 - 100,-, 501 - 1000,-,"Mindfire Solutions is an India-based offshore software development company providing customized services and solutions. Founded in Delhi in 1999 by Chinmoy Panda (BITS Pilani, IIM-A alumnus), who is also the current CEO, Mindfire Solutions is an ISO 9001:2000 certified company and a Microsoft Gold Certified Partner as well as an Apple Premier Partner. It employs more than 700+ workers in its two engineering centres in Delhi and Bhubaneswar and caters to more than 100 clients in the US and Europe. In 2012, Mindfire Solutions opened a new development center in Bangalore."
556,Misys Banking Systems,3.4,http://jobbuzz.timesjobs.com/ndata_images/logos/001017.gif,N,Misys Company Pvt Ltd,http://www.misys.com/,3.8,3.6,3.3,3," Technology (IT, Telecom, Dot Com Etc)",-,-, 5000 - 10000,-, 1001 - 5000,-,0
557,Motorola Mobility,4,http://jobbuzz.timesjobs.com/ndata_images/logos/001029.gif,N,"Motorola Mobility, Inc.",http://www.motorola.com/Consumers/IN-EN/Home,4.1,3.8,4,3.9," Technology (IT, Telecom, Dot Com Etc)",-,-, 10000+,-, 10001+," Ericsson Pvt Ltd. , Nokia Pvt Ltd , Apple India Pvt Ltd , Aircel Ltd , Alcatel-Lucent Pvt. Ltd.","Motorola Mobility is an American mobile device computer technology company, headquartered in Chicago, Illinois, United States. The company was formed on January 4, 2011 by the split of Motorola Inc. into two separate companies; Motorola Mobility took on the company's consumer-oriented product lines, including its mobile phone business and its cable modems and set-top boxes for digital cable and satellite television services, while Motorola Solutions retained the company's enterprise-oriented product lines. It is a subsidiary of the Chinese personal computer and mobile device maker Lenovo.The company primarily manufactures smartphones and other mobile devices running the Android operating system developed by Google Inc.; in August 2011, only several months after the split, Google announced that it would acquire Motorola Mobility for US$12.5 billion. Google's stated intent for the purchase was to gain control of Motorola Mobility's portfolio of patents, so it could adequately protect other Android vendors from lawsuits. The deal closed in May 2012, after which it also sold its cable modem and set-top box business to Arris Group. Under Google ownership, Motorola Mobility increased its focus on the entry-level smartphone market, introduced one of the first Android Wear smartwatches, and also began development on Project Ara, a platform for modular smartphones with interchangeable components.Google's ownership of the company would be short-lived, as it announced in January 2014 that it would sell most of Motorola Mobility to Chinese personal computer and mobile device maker Lenovo for $2.91 billion. The sale, which excluded all but 2000 of Motorola Mobility's patents and the team working on Project Ara (which became part of the main Android development staff), was completed on October 30, 2014.  Lenovo disclosed an intent to use its purchase of Motorola Mobility as a way to expand into the U.S. smartphone market."
558,Motherson Sumi Systems Ltd,3.4,http://jobbuzz.timesjobs.com/ndata_images/logos/001028.png,N,Motherson Sumi Systems Ltd,http://www.motherson.com/,3.1,3.4,3.5,3.6, Transportation Equipment,1986,-, 1000 - 2500,-, 10001+,-,"Mother Dairy, manufactures, markets & sells milk and milk products including cultured products, ice creams, paneer and ghee under the Mother Dairy brand. The Company also has a diversified portfolio with products in edible oils, fruits & vegetables, frozen vegetables, processed food like fruit juices, jams, pickles etc. It was set up in 1974, as a wholly owned subsidiary of the National Dairy Development Board (NDDB) of India. Mother Dairy offers the following products:Mother Dairy milk (bulk vended) is fortified with vitamin A with 2000 IU per litre as social accountability. This program started with the Mother Dairy, Delhi, in February 1980. Thereafter the dairy continues this program on their own without having any financial assistance from the government since it is felt that BVM is generally consumed by the middle/lower middle/poor population. It is found that the dietary practices adopted by these classes are deficient in Vitamin A. Mother Dairy sources significant part of its requirement of liquid milk from dairy cooperatives. "
559,MphasiS,3.3,http://jobbuzz.timesjobs.com/ndata_images/logos/000733.gif,N,Mphasis Ltd,http://www.mphasis.com/index.html,3.5,3.2,3.2,3.2," Technology (IT, Telecom, Dot Com Etc)",2000, Balu Ganesh Ayyar, 2500 - 5000, Bengaluru, 10001+," Wipro Technologies Ltd , Tata Consultancy Services Ltd","Mphasis is a Bangalore-based IT services company owned by Hewlett-Packard. The company provides infrastructure technology and applications outsourcing services, as well as architecture guidance, application development and integration, and application management services. It serves financial services, telecom, logistics, and technology industries. MphasiS is ranked #7 in India IT companies and overall #165 by Fortune India 500 in 2011  with more than 40,000 employees   as of 2012. In February 2014 the Mphasis company changed its logo and the Brand Name as Mphasis Unleash the Next as it seeks to boost business other than from parent Hewlett-Packard, currently its largest client. The 5th Feb 2014's announcement "",it is about Mphasis being more relevant to customers , including HP,"" Ayyar told reporters in Bangalore."
560,National Bulk Handling Corporation Ltd,3.4,http://jobbuzz.timesjobs.com/ndata_images/logos/001042.gif,N,National Bulk Handling Corporation Ltd,http://www.nbhcindia.com/,3.5,3.4,3.4,3.2, Transportation Services,2005, Dr. Vijay L. Kelkar, 1 - 100, Mumbai, 1001 - 5000,-,"The National Institute for Smart Government (NISG) is a non-for profit company incorporated in 2002 by the Government of India and NASSCOM with its head office at Hyderabad, India. The Government of India is committed to eGovernment in order to make India more competitive in the new global economy. Having a highly developed public service that is capable of delivering eGovernment services to customers is an essential part of that strategy.The Vision of NISG is ""to establish itself as an institution of excellence in e-Governance and to leverage private sector resources through a Public-Private-Partnership mode in establishing eIndia."""
561,Nalco Water India Limited,3.8,http://jobbuzz.timesjobs.com/ndata_images/logos/001085.gif,N,Nalco Holding Company,http://www.nalco.com/,3.8,4,3.5,4, Consultancy Services,-,-, 1000 - 2500,-, 5001 - 10000,-,0
562,NDS Pay TV Solutions,2.5,http://jobbuzz.timesjobs.com/ndata_images/logos/004431.gif,N,NdsServices Pay Tv Technology Pvt Ltd,http://www.nds.com,2.5,2.5,2.5,2.5," Technology (IT, Telecom, Dot Com Etc)",-,-, 1 - 100,-, 501 - 1000,-,0
563,Nihilent Technologies,2.8,http://jobbuzz.timesjobs.com/ndata_images/logos/001076.gif,N,Nihilent Technologies Pvt. Ltd.,http://www.nihilent.com/,2.5,3.2,2.6,3," Technology (IT, Telecom, Dot Com Etc)",2000, L.C. Singh, 100 - 500," Pune, Maharashtra", 501 - 1000,-,0
564,Novell India Pvt. Ltd.,3.8,http://jobbuzz.timesjobs.com/ndata_images/logos/001093.gif,N,Novell Ltd,http://www.novell.com/,4.2,3.4,3.7,3.7," Technology (IT, Telecom, Dot Com Etc)",-,-, 2500 - 5000,-, 1001 - 5000,-,0
565,Olam International Limited,4.2,http://jobbuzz.timesjobs.com/ndata_images/logos/004864.jpg,N,Olam Agro India Ltd,www.olamonline.com,5,4,5,3," Agriculture, Dairy, Agro Based Industries, Fishing, Forestry",1989, SUNNY VERGHESE, 1000 - 2500," Gurgaon, Haryana", 1001 - 5000,-,0
566,One97 Communications Ltd,3.1,http://jobbuzz.timesjobs.com/ndata_images/logos/001283.png,N,One97 Communications Ltd,http://www.one97.com/,3.2,3.3,3,2.9," Technology (IT, Telecom, Dot Com Etc)",2000, Mr. Vijay Shekhar Sharma, 100 - 500, Noida, 501 - 1000,-,0
567,Onward Group,2.6,http://jobbuzz.timesjobs.com/ndata_images/logos/001120.gif,N,Onward Technologies Ltd,http://www.onwardgroup.com/EDS/index.html,2.7,2.7,2.5,2.7, Consultancy Services,1991, Harish S. Mehta, 100 - 500, Mumbai, 501 - 1000," Softcell Technologies Ltd , Verve Global Services Pvt Ltd , Exemplarr Worldwide Ltd , Neilsoft Ltd , Nihilent Technologies Pvt. Ltd.",0
568,OSI Technologies,2.5,http://jobbuzz.timesjobs.com/ndata_images/logos/007076.gif,N,OSI Consulting Pvt Ltd,http://www.osius.com,2.5,2.5,2.5,2.5," Technology (IT, Telecom, Dot Com Etc)",-,-, 1 - 100,-, 201 - 500,-,0
569,Pfizer Inc.,3.6,http://jobbuzz.timesjobs.com/ndata_images/logos/000772.gif,N,Pfizer Inc.,http://www.pfizer.com/home/,3.6,3.5,3.6,3.6, Healthcare,-,-, 10000+,-, 10001+," Novartis AG , Sanofi-aventis Pvt Ltd , Merck Ltd , Johnson & Johnson Ltd , GlaxoSmithKline Pharmaceuticals Ltd",0
570,Percept Knorigin,2.5,http://jobbuzz.timesjobs.com/ndata_images/logos/006996.gif,N,Percept Ltd,http://www.perceptindia.in,0,0,0,0," Media, Entertainment, Advertising & Related Services",-,-, 100 - 500,-, 1001 - 5000,-,0
571,People First HR Consultants Pvt Ltd,2.5,http://jobbuzz.timesjobs.com/ndata_images/logos/003101.gif,N,People First HR Consultants Pvt Ltd,http://www.peoplefirsthr.com,0,0,0,0, Consultancy Services,-,-, 1 - 100,-, 11 - 50,-,0
572,PharmARC Analytic Solutions,3.5,http://jobbuzz.timesjobs.com/ndata_images/logos/002292.gif,N,PharmARC Analytic Solutions Pvt Ltd,http://www.pharmarc.com,3,3.2,3.6,4.2, Healthcare Services,-,-, 1 - 100,-, 201 - 500,-,0
573,Philips India Limited,3.9,http://jobbuzz.timesjobs.com/ndata_images/logos/001237.gif,N,Philips India Limited,http://www.philips.co.in/,3.8,4,3.8,3.8, Consumer Goods - Durables,1891, Frans van Houten, 5000 - 10000," Amsterdam, Netherlands", 10001+," MIRC Electronics Ltd , Sony India Pvt Ltd , LG Electronics India Pvt Ltd , Samsung Ltd , Panasonic Pvt Ltd","Koninklijke Philips N.V. (Royal Philips, commonly known as Philips) is a Dutch technology company headquartered in Amsterdam with primary divisions focused in the areas of electronics, healthcare and lighting. It was founded in Eindhoven in 1891 by Gerard Philips and his father Frederik. It is one of the largest electronics companies in the world and employs around 105,000 people across more than 60 countries. Philips is organized into three main divisions: Philips Consumer Lifestyle (formerly Philips Consumer Electronics and Philips Domestic Appliances and Personal Care), Philips Healthcare (formerly Philips Medical Systems) and Philips Lighting. As of 2012 Philips was the largest manufacturer of lighting in the world measured by applicable revenues.  In 2013, the company announced the sale of the bulk of its remaining consumer electronics operations to Japan's Funai Electric Co,  but in October 2013, the deal to Funai Electric Co was broken off and the consumer electronics operations remain under Philips. Philips said it would seek damages for breach of contract in the $200-million sale. Philips has a primary listing on the Euronext Amsterdam stock exchange and is a component of the Euro Stoxx 50 stock market index.  It has a secondary listing on the New York Stock Exchange."
